ID,adj.P.Val,pvalue,t,B,log2FoldChange,Gene_Symbol,Gene.title
209074_s_at,7.2e-41,3.2299999999999996e-45,-24.014016,92.4400698,-3.3717986,FAM107A,family with sequence similarity 107 member A
209555_s_at,1.77e-38,1.59e-42,-22.423293,86.3263106,-2.4169837,CD36,CD36 molecule
204396_s_at,2.97e-38,3.99e-42,-22.192882,85.4161718,-2.3880718,GRK5,G protein-coupled receptor kinase 5
206209_s_at,4.77e-38,8.569999999999999e-42,-22.003112,84.6617956,-2.5535085,CA4,carbonic anhydrase 4
204271_s_at,4.89e-38,1.1e-41,-21.942025,84.4180398,-2.2274919,EDNRB,endothelin receptor type B
204677_at,6.58e-38,1.7699999999999998e-41,-21.823603,83.9442169,-2.6195734,CDH5,cadherin 5
210081_at,2.2300000000000002e-37,7e-41,-21.486438,82.5858433,-4.4174695,AGER,advanced glycosylation end-product specific receptor
32625_at,2.55e-37,9.15e-41,-21.421228,82.3215228,-1.182151,NPR1,natriuretic peptide receptor 1
206702_at,2.59e-37,1.19e-40,-21.357462,82.0625504,-2.4664548,TEK,TEK receptor tyrosine kinase
219719_at,2.59e-37,1.22e-40,-21.351442,82.0380762,-1.3639731,HIGD1B,HIG1 hypoxia inducible domain family member 1B
205200_at,2.59e-37,1.2799999999999998e-40,-21.33997,81.9914215,-3.4118535,EXOSC7,exosome component 7///C-type lectin domain family 3 member B
204931_at,5.3700000000000005e-37,2.89e-40,-21.14183,81.1831049,-2.5300979,TCF21,transcription factor 21
219213_at,6.22e-37,3.87e-40,-21.071401,80.8946227,-1.5591324,JAM2,junctional adhesion molecule 2
217046_s_at,6.22e-37,3.91e-40,-21.069201,80.8856003,-3.0376889,AGER,advanced glycosylation end-product specific receptor
209875_s_at,7.76e-37,5.22e-40,20.99937,80.5989405,4.3644151,SPP1,secreted phosphoprotein 1
204273_at,1.12e-36,8.059999999999999e-40,-20.894898,80.168948,-3.1612603,EDNRB,endothelin receptor type B
208982_at,1.87e-36,1.43e-39,-20.757746,79.6023906,-1.8139137,PECAM1,platelet and endothelial cell adhesion molecule 1
213103_at,1.92e-36,1.55e-39,-20.738386,79.5222243,-1.2198198,STARD13,StAR related lipid transfer domain containing 13
209470_s_at,2.17e-36,1.85e-39,-20.695925,79.3462483,-2.8358372,GPM6A,glycoprotein M6A
208981_at,3.03e-36,2.72e-39,-20.603987,78.9644388,-1.6889025,PECAM1,platelet and endothelial cell adhesion molecule 1
219597_s_at,5.87e-36,5.53e-39,-20.435825,78.2633403,-2.1765235,DUOX1,dual oxidase 1
202112_at,7.41e-36,7.32e-39,-20.369603,77.9862711,-2.2584735,VWF,von Willebrand factor
201540_at,1.2500000000000002e-35,1.2899999999999999e-38,-20.236193,77.4264192,-2.5550412,FHL1,four and a half LIM domains 1
207547_s_at,1.2500000000000002e-35,1.41e-38,-20.215721,77.3403101,-1.8963864,FAM107A,family with sequence similarity 107 member A
203980_at,1.2500000000000002e-35,1.43e-38,-20.211092,77.3208312,-3.8385413,FABP4,fatty acid binding protein 4
209614_at,1.2500000000000002e-35,1.46e-38,-20.206856,77.3030031,-1.5515014,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide"
205935_at,2.17e-35,2.6299999999999997e-38,-20.068769,76.7206459,-2.2280579,FOXF1,forkhead box F1
205357_s_at,2.82e-35,3.55e-38,-19.998713,76.4242709,-1.6991027,AGTR1,angiotensin II receptor type 1
206481_s_at,2.91e-35,3.8099999999999996e-38,-19.982161,76.3541575,-2.2117826,LDB2,LIM domain binding 2
206742_at,2.91e-35,3.92e-38,-19.975323,76.3251807,-2.5549016,PIR-FIGF,PIR-FIGF readthrough///c-fos induced growth factor
204719_at,3.21e-35,4.47e-38,-19.944776,76.1956655,-2.9599097,ABCA8,ATP binding cassette subfamily A member 8
210299_s_at,3.33e-35,4.79e-38,-19.928645,76.1272249,-2.6841751,FHL1,four and a half LIM domains 1
206701_x_at,4.3e-35,6.37e-38,-19.861906,75.8437122,-2.2989318,EDNRB,endothelin receptor type B
214505_s_at,1.03e-34,1.5700000000000002e-37,-19.652617,74.9509564,-1.8890749,FHL1,four and a half LIM domains 1
206283_s_at,1.23e-34,1.93e-37,-19.605332,74.7484811,-1.2927307,TAL1,"TAL bHLH transcription factor 1, erythroid differentiation factor"
205779_at,3.34e-34,5.4e-37,-19.367573,73.7260523,-1.768854,RAMP2,receptor activity modifying protein 2
220027_s_at,3.8799999999999994e-34,6.4400000000000006e-37,-19.327099,73.5512835,-1.5948044,RASIP1,Ras interacting protein 1
206069_s_at,6.44e-34,1.1e-36,-19.204972,73.0226507,-1.5130448,ACADL,"acyl-CoA dehydrogenase, long chain"
204731_at,6.86e-34,1.2e-36,-19.184645,72.9344796,-2.4222017,TGFBR3,transforming growth factor beta receptor 3
206488_s_at,1.3200000000000001e-33,2.39e-36,-19.027719,72.2519958,-2.5671154,CD36,CD36 molecule
204482_at,1.3200000000000001e-33,2.43e-36,-19.023786,72.2348514,-1.8882777,CLDN5,claudin 5
205952_at,1.3200000000000001e-33,2.49e-36,-19.018547,72.2120064,-2.0494433,KCNK3,potassium two pore domain channel subfamily K member 3
213451_x_at,1.38e-33,2.67e-36,-19.002841,72.1435097,-1.6941137,TNXB,tenascin XB///tenascin XA (pseudogene)
215454_x_at,1.7800000000000002e-33,3.52e-36,-18.940149,71.8697684,-3.9898216,SFTPC,surfactant protein C
216333_x_at,1.83e-33,3.7e-36,-18.928475,71.8187364,-1.6522229,TNXB,tenascin XB///tenascin XA (pseudogene)
206208_at,2.1e-33,4.34e-36,-18.892507,71.6614029,-2.0092844,CA4,carbonic anhydrase 4
206068_s_at,2.18e-33,4.6e-36,-18.879443,71.6042171,-1.7377278,ACADL,"acyl-CoA dehydrogenase, long chain"
200878_at,3.08e-33,6.63e-36,-18.796658,71.241315,-2.0874254,EPAS1,endothelial PAS domain protein 1
218665_at,4.11e-33,9.04e-36,-18.726656,70.9337621,-0.93187,FZD4,frizzled class receptor 4
203065_s_at,4.41e-33,9.9e-36,-18.706057,70.8431386,-2.6777407,CAV1,caveolin 1
41644_at,5.52e-33,1.2600000000000001e-35,-18.651356,70.6022225,-1.1465154,SASH1,SAM and SH3 domain containing 1
203865_s_at,8.29e-33,1.93e-35,-18.555553,70.1793495,-1.8991925,ADARB1,"adenosine deaminase, RNA specific B1"
209841_s_at,8.31e-33,1.98e-35,-18.550796,70.158321,-1.4595362,LRRN3,leucine rich repeat neuronal 3
219064_at,8.520000000000001e-33,2.06e-35,-18.540945,70.1147684,-1.1389693,ITIH5,inter-alpha-trypsin inhibitor heavy chain family member 5
213236_at,1.4e-32,3.4500000000000004e-35,-18.426129,69.6061925,-1.4903901,SASH1,SAM and SH3 domain containing 1
202524_s_at,1.62e-32,4.07e-35,-18.389236,69.4424131,-2.0318916,SPOCK2,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2"
204642_at,1.85e-32,4.7400000000000004e-35,-18.355115,69.2907811,-1.2774482,S1PR1,sphingosine-1-phosphate receptor 1
213974_at,1.85e-32,4.820000000000001e-35,-18.351319,69.2739027,-1.9936949,ADAMTSL3,ADAMTS like 3
210298_x_at,2.42e-32,6.42e-35,-18.287407,68.9894486,-2.3636024,FHL1,four and a half LIM domains 1
200911_s_at,4.2700000000000004e-32,1.15e-34,-18.158024,68.4119749,-1.4980591,TACC1,transforming acidic coiled-coil containing protein 1
209469_at,5.94e-32,1.6299999999999999e-34,-18.081092,68.0675772,-2.3273083,GPM6A,glycoprotein M6A
209170_s_at,9.580000000000001e-32,2.66e-34,-17.971954,67.5776931,-2.2245382,GPM6B,glycoprotein M6B
213316_at,1.09e-31,3.09e-34,-17.938969,67.4293276,-1.8764116,KIAA1462,KIAA1462
209167_at,1.18e-31,3.4e-34,-17.918425,67.3368504,-2.1736568,GPM6B,glycoprotein M6B
208609_s_at,1.25e-31,3.65e-34,-17.902637,67.2657473,-1.7910368,TNXB,tenascin XB///tenascin XA (pseudogene)
202877_s_at,1.3300000000000002e-31,3.95e-34,-17.885041,67.1864624,-1.1802629,CD93,CD93 molecule
209897_s_at,1.4300000000000001e-31,4.34e-34,-17.864347,67.0931665,-1.9668727,SLIT2,slit guidance ligand 2
204894_s_at,1.4300000000000001e-31,4.39e-34,-17.862106,67.0830593,-1.8686365,AOC3,"amine oxidase, copper containing 3"
201539_s_at,1.4300000000000001e-31,4.44e-34,-17.859379,67.0707588,-2.401342,FHL1,four and a half LIM domains 1
206093_x_at,1.62e-31,5.08e-34,-17.829918,66.937825,-1.4117506,TNXB,tenascin XB///tenascin XA (pseudogene)
206167_s_at,1.6800000000000001e-31,5.34e-34,-17.818736,66.8873384,-1.9401847,ARHGAP6,Rho GTPase activating protein 6
221747_at,2.0800000000000002e-31,6.6999999999999995e-34,-17.768893,66.6621037,-1.777455,TNS1,tensin 1
220677_s_at,2.14e-31,7.0099999999999995e-34,-17.759017,66.6174377,-1.5815384,ADAMTS8,ADAM metallopeptidase with thrombospondin type 1 motif 8
204579_at,2.46e-31,8.18e-34,-17.725262,66.4646775,-1.449259,FGFR4,fibroblast growth factor receptor 4
220994_s_at,2.71e-31,9.11e-34,-17.701779,66.3583174,-1.4054843,STXBP6,syntaxin binding protein 6
202878_s_at,2.9100000000000003e-31,9.93e-34,-17.682834,66.2724573,-1.74854,CD93,CD93 molecule
203812_at,3.3000000000000004e-31,1.1400000000000001e-33,-17.652452,66.1346683,-0.8297534,SLIT3,slit guidance ligand 3
217897_at,3.3000000000000004e-31,1.1500000000000001e-33,-17.649975,66.1234315,-1.4626559,FXYD6,FXYD domain containing ion transport regulator 6
206030_at,3.5800000000000004e-31,1.27e-33,-17.628144,66.0243401,-0.9029648,ASPA,aspartoacylase
212097_at,3.5800000000000004e-31,1.3e-33,-17.623632,66.0038554,-2.4203038,CAV1,caveolin 1
220170_at,3.5800000000000004e-31,1.3e-33,-17.623375,66.0026889,-1.1938571,FHL5,four and a half LIM domains 5
219091_s_at,3.6700000000000003e-31,1.35e-33,-17.615599,65.9673749,-1.1713037,MMRN2,multimerin 2
213247_at,4.21e-31,1.57e-33,-17.582923,65.8188936,-1.1923094,SVEP1,"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1"
219452_at,4.39e-31,1.67e-33,-17.569228,65.7566206,-1.2174376,DPEP2,dipeptidase 2
204468_s_at,4.39e-31,1.68e-33,-17.568503,65.753322,-1.9310316,TIE1,tyrosine kinase with immunoglobulin like and EGF like domains 1
217781_s_at,6.130000000000001e-31,2.37e-33,-17.493342,65.4111202,-0.9857638,ZNF106,zinc finger protein 106
202759_s_at,7.890000000000001e-31,3.08e-33,-17.435919,65.1491889,-1.7144354,PALM2-AKAP2,PALM2-AKAP2 readthrough///A-kinase anchoring protein 2
220765_s_at,8.55e-31,3.38e-33,-17.415962,65.0580551,-1.6278048,LIMS2,LIM zinc finger domain containing 2
219440_at,9.330000000000001e-31,3.74e-33,-17.393741,64.9565243,-1.4706097,RAI2,retinoic acid induced 2
219436_s_at,9.330000000000001e-31,3.77e-33,-17.392136,64.9491868,-1.8038502,EMCN,endomucin
203063_at,1.22e-30,4.98e-33,-17.331433,64.6714866,-0.6537987,PPM1F,"protein phosphatase, Mg2+/Mn2+ dependent 1F"
49452_at,2.18e-30,9.01e-33,-17.203233,64.0834388,-1.051736,ACACB,acetyl-CoA carboxylase beta
205866_at,3.27e-30,1.36e-32,-17.113665,63.6713356,-3.5030989,FCN3,ficolin 3
205384_at,3.32e-30,1.4e-32,-17.108337,63.6467862,-1.4880772,FXYD1,FXYD domain containing ion transport regulator 1
214135_at,4.1499999999999996e-30,1.7700000000000002e-32,-17.057647,63.4130714,-3.4464117,CLDN18,claudin 18
40687_at,4.7199999999999996e-30,2.04e-32,-17.027598,63.2743658,-0.9603835,GJA4,gap junction protein alpha 4
211922_s_at,5.01e-30,2.18e-32,-17.012754,63.2058021,-1.4219269,CAT,catalase
218723_s_at,5.93e-30,2.61e-32,-16.974341,63.0282506,-2.2433647,RGCC,regulator of cell cycle
209894_at,7.04e-30,3.13e-32,-16.935452,62.8483042,-2.5943401,LEPROT,leptin receptor overlapping transcript///leptin receptor
218820_at,7.499999999999999e-30,3.37e-32,-16.919498,62.7744255,-1.5140258,C14orf132,chromosome 14 open reading frame 132
40560_at,7.87e-30,3.5700000000000004e-32,-16.90715,62.7172199,-1.5416792,TBX2,T-box 2
201432_at,7.889999999999999e-30,3.6100000000000003e-32,-16.904544,62.7051442,-1.3735273,CAT,catalase
213169_at,1.2000000000000001e-29,5.540000000000001e-32,-16.812916,62.2800336,-1.4260516,SEMA5A,semaphorin 5A
43427_at,2.0700000000000002e-29,9.660000000000001e-32,-16.694293,61.7280819,-0.8859837,ACACB,acetyl-CoA carboxylase beta
201577_at,2.4000000000000002e-29,1.13e-31,16.660793,61.5718779,1.7477134,NME1,NME/NM23 nucleoside diphosphate kinase 1
221133_s_at,2.54e-29,1.21e-31,-16.64697,61.5073832,-2.2660758,CLDN18,claudin 18
209904_at,2.62e-29,1.2600000000000002e-31,-16.637758,61.4643891,-2.8979773,TNNC1,"troponin C1, slow skeletal and cardiac type"
203562_at,2.84e-29,1.38e-31,-16.618195,61.3730457,-1.4524999,FEZ1,fasciculation and elongation protein zeta 1
215918_s_at,2.84e-29,1.39e-31,-16.616917,61.367079,-1.1698404,SPTBN1,"spectrin beta, non-erythrocytic 1"
208983_s_at,2.89e-29,1.4300000000000001e-31,-16.611405,61.3413323,-1.4989536,PECAM1,platelet and endothelial cell adhesion molecule 1
209283_at,4.11e-29,2.0500000000000003e-31,-16.534505,60.9817427,-1.2641938,CRYAB,crystallin alpha B
205247_at,4.5200000000000004e-29,2.2700000000000003e-31,-16.512732,60.8797917,-0.992711,NOTCH4,notch 4
212111_at,4.8000000000000004e-29,2.43e-31,-16.497936,60.8104767,-0.8852751,STX12,syntaxin 12
213317_at,5.61e-29,2.87e-31,-16.463061,60.6469914,-3.0835514,CLIC5,chloride intracellular channel 5
212822_at,5.65e-29,2.9100000000000003e-31,-16.459726,60.6313497,-1.2691723,HEG1,heart development protein with EGF like domains 1
204975_at,5.84e-29,3.04e-31,-16.450769,60.5893279,-2.0271599,EMP2,epithelial membrane protein 2
218950_at,6.22e-29,3.2700000000000004e-31,-16.435583,60.5180698,-0.9406964,ARAP3,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3"
203571_s_at,6.3e-29,3.34e-31,-16.43114,60.4972133,-2.7054628,ADIRF,adipogenesis regulatory factor
217437_s_at,8.440000000000001e-29,4.510000000000001e-31,-16.367429,60.1978868,-1.43346,TACC1,transforming acidic coiled-coil containing protein 1
201348_at,8.53e-29,4.59e-31,-16.363608,60.1799194,-2.1108823,GPX3,glutathione peroxidase 3
221748_s_at,1.18e-28,6.4e-31,-16.293589,59.8503319,-1.6581775,TNS1,tensin 1
202747_s_at,1.48e-28,8.12e-31,-16.243339,59.6134171,-1.2776218,ITM2A,integral membrane protein 2A
209840_s_at,1.83e-28,1.01e-30,-16.197525,59.3971393,-1.755538,LRRN3,leucine rich repeat neuronal 3
219059_s_at,2.08e-28,1.1599999999999999e-30,-16.168656,59.2607218,-1.2306568,LYVE1,lymphatic vessel endothelial hyaluronan receptor 1
219866_at,2.79e-28,1.5599999999999999e-30,-16.105764,58.9631637,-2.3428237,CLIC5,chloride intracellular channel 5
206658_at,3.65e-28,2.0599999999999998e-30,-16.047719,58.6880935,-2.7063125,UPK3B,uroplakin 3B
213900_at,3.77e-28,2.15e-30,-16.038968,58.6465876,-1.3100129,FAM189A2,family with sequence similarity 189 member A2
204153_s_at,4.13e-28,2.3699999999999997e-30,-16.018267,58.5483628,-0.906926,MFNG,MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
200700_s_at,4.97e-28,2.8799999999999997e-30,15.97778,58.3561041,1.4222702,KDELR2,KDEL endoplasmic reticulum protein retention receptor 2
214091_s_at,5.47e-28,3.19e-30,-15.956419,58.2545843,-2.1668033,GPX3,glutathione peroxidase 3
209612_s_at,5.62e-28,3.31e-30,-15.948871,58.2186992,-3.3469048,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide"
218346_s_at,5.67e-28,3.36e-30,-15.945678,58.2035166,-1.1953862,SESN1,sestrin 1
212071_s_at,6.94e-28,4.16e-30,-15.901085,57.9913404,-1.3150874,SPTBN1,"spectrin beta, non-erythrocytic 1"
209493_at,6.94e-28,4.19e-30,-15.899301,57.982844,-2.2598436,PDZD2,PDZ domain containing 2
212713_at,6.94e-28,4.1999999999999996e-30,-15.898723,57.9800967,-2.1113993,MFAP4,microfibrillar associated protein 4
205326_at,7.01e-28,4.28e-30,-15.895044,57.9625775,-1.8977551,RAMP3,receptor (G protein-coupled) activity modifying protein 3
221132_at,7.18e-28,4.4199999999999995e-30,-15.888381,57.9308497,-2.1392659,CLDN18,claudin 18
203323_at,1e-27,6.2099999999999994e-30,-15.817432,57.5926462,-2.4641038,CAV2,caveolin 2
217871_s_at,1.0400000000000002e-27,6.51e-30,15.807386,57.5447102,1.366434,MIF,macrophage migration inhibitory factor (glycosylation-inhibiting factor)
219371_s_at,1.1900000000000001e-27,7.46e-30,-15.779145,57.4098828,-1.9243565,KLF2,Kruppel like factor 2
63305_at,1.5e-27,9.5e-30,-15.728878,57.1696525,-0.911052,PKNOX2,PBX/knotted 1 homeobox 2
205303_at,1.7300000000000003e-27,1.1000000000000001e-29,-15.697548,57.0197663,-0.9164334,KCNJ8,potassium voltage-gated channel subfamily J member 8
219230_at,1.79e-27,1.1500000000000001e-29,-15.689002,56.9788598,-3.5703127,TMEM100,transmembrane protein 100
207761_s_at,1.9800000000000003e-27,1.28e-29,-15.667604,56.8763955,-1.6851718,METTL7A,methyltransferase like 7A
205507_at,2.0900000000000003e-27,1.36e-29,-15.654737,56.8147588,-0.9260038,ARHGEF15,Rho guanine nucleotide exchange factor 15
203813_s_at,2.35e-27,1.54e-29,-15.628728,56.6900984,-0.9940643,SLIT3,slit guidance ligand 3
212730_at,2.5500000000000003e-27,1.6900000000000001e-29,-15.608967,56.5953279,-1.189899,SYNM,synemin
208634_s_at,2.5500000000000003e-27,1.7000000000000001e-29,-15.608549,56.5933251,-1.293311,MACF1,microtubule-actin crosslinking factor 1
205632_s_at,2.5500000000000003e-27,1.7100000000000001e-29,-15.607405,56.5878366,-1.7637719,PIP5K1B,phosphatidylinositol-4-phosphate 5-kinase type 1 beta
209543_s_at,3.0400000000000004e-27,2.0500000000000002e-29,-15.569936,56.4080063,-1.0498173,CD34,CD34 molecule
219821_s_at,3.3700000000000004e-27,2.2900000000000002e-29,-15.546929,56.2974972,-0.9994888,GFOD1,glucose-fructose oxidoreductase domain containing 1
213541_s_at,4.520000000000001e-27,3.08e-29,-15.485226,56.0008078,-1.705887,ERG,"ERG, ETS transcription factor"
205726_at,5.31e-27,3.65e-29,-15.450447,55.8333766,-1.0070375,DIAPH2,diaphanous related formin 2
64064_at,6.2900000000000006e-27,4.35e-29,-15.414121,55.6583349,-0.9762168,GIMAP1-GIMAP5,"GIMAP1-GIMAP5 readthrough///GTPase, IMAP family member 5"
203835_at,6.56e-27,4.57e-29,-15.40407,55.6098752,-1.142009,LRRC32,leucine rich repeat containing 32
206953_s_at,7.01e-27,4.9000000000000004e-29,-15.389301,55.5386461,-1.9229773,ADGRL2,adhesion G protein-coupled receptor L2
219315_s_at,7.61e-27,5.36e-29,-15.370972,55.4502143,-1.564591,TMEM204,transmembrane protein 204
213069_at,1.0300000000000001e-26,7.3e-29,-15.307452,55.143418,-1.5196784,HEG1,heart development protein with EGF like domains 1
200650_s_at,1.22e-26,8.67e-29,15.272086,54.9723975,0.9039926,LDHA,lactate dehydrogenase A
37384_at,1.3e-26,9.33e-29,-15.256996,54.899377,-0.6614196,PPM1F,"protein phosphatase, Mg2+/Mn2+ dependent 1F"
203549_s_at,1.48e-26,1.07e-28,-15.229477,54.7661458,-2.3892576,LPL,lipoprotein lipase
209613_s_at,1.5e-26,1.09e-28,-15.224583,54.7424415,-3.6784673,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide"
219167_at,1.91e-26,1.4e-28,-15.173833,54.4964736,-1.2733401,RASL12,RAS like family 12
204570_at,1.98e-26,1.46e-28,-15.165682,54.4569398,-1.4460386,COX7A1,cytochrome c oxidase subunit 7A1
213715_s_at,2.04e-26,1.51e-28,-15.158185,54.4205683,-1.0895147,KANK3,KN motif and ankyrin repeat domains 3
205846_at,2.34e-26,1.74e-28,-15.128954,54.2787004,-1.4761859,PTPRB,"protein tyrosine phosphatase, receptor type B"
201809_s_at,2.49e-26,1.87e-28,-15.114857,54.2102432,-1.3757525,ENG,endoglin
203088_at,2.49e-26,1.88e-28,-15.113698,54.2046149,-1.5189397,FBLN5,fibulin 5
209763_at,3.05e-26,2.31e-28,-15.071008,53.9971662,-2.0015092,CHRDL1,chordin like 1
205382_s_at,3.1200000000000003e-26,2.38e-28,-15.065193,53.9688916,-2.1585232,CFD,complement factor D
213844_at,3.69e-26,2.83e-28,-15.029683,53.7961424,-1.4024571,HOXA5,homeobox A5
204365_s_at,4.06e-26,3.13e-28,-15.009031,53.6956037,-0.6663399,REEP1,receptor accessory protein 1
202005_at,4.1500000000000003e-26,3.23e-28,15.003116,53.6667994,0.9745525,ST14,suppression of tumorigenicity 14
218805_at,4.5100000000000004e-26,3.53e-28,-14.984953,53.5783237,-0.9892546,GIMAP1-GIMAP5,"GIMAP1-GIMAP5 readthrough///GTPase, IMAP family member 5"
211726_s_at,5.17e-26,4.06e-28,-14.956336,53.4388478,-2.4680746,FMO2,flavin containing monooxygenase 2
212636_at,6.01e-26,4.75e-28,-14.924307,53.2826254,-1.9030699,QKI,"QKI, KH domain containing RNA binding"
202746_at,6.31e-26,5.01e-28,-14.913333,53.2290725,-1.8354181,ITM2A,integral membrane protein 2A
212975_at,7.500000000000001e-26,5.989999999999999e-28,-14.876781,53.0505989,-1.0489771,DENND3,DENN domain containing 3
213417_at,9.840000000000001e-26,7.9e-28,-14.820544,52.7757003,-1.6480014,TBX2,T-box 2
213058_at,1e-25,8.12e-28,-14.815171,52.7494173,-0.889894,TTC28,tetratricopeptide repeat domain 28
219165_at,1.13e-25,9.15e-28,-14.790858,52.6304374,-1.4790705,PDLIM2,PDZ and LIM domain 2
203887_s_at,1.14e-25,9.309999999999999e-28,-14.787195,52.6125071,-1.8817391,THBD,thrombomodulin
206499_s_at,1.14e-25,9.38e-28,14.785717,52.6052728,1.0104409,RCC1,regulator of chromosome condensation 1
201013_s_at,1.72e-25,1.4200000000000001e-27,14.702156,52.1957916,1.6691041,PAICS,phosphoribosylaminoimidazole carboxylase; phosphoribosylaminoimidazolesuccinocarboxamide synthase
220003_at,1.77e-25,1.4700000000000002e-27,-14.694788,52.1596459,-1.1718248,LRRC36,leucine rich repeat containing 36
209529_at,1.95e-25,1.6300000000000002e-27,14.673802,52.0566601,1.8724534,PLPP2,phospholipid phosphatase 2
205405_at,2.37e-25,1.99e-27,-14.633558,51.859028,-1.1499237,SEMA5A,semaphorin 5A
203744_at,2.53e-25,2.1300000000000002e-27,14.619242,51.788681,2.2161973,HMGB3,high mobility group box 3
204955_at,2.6e-25,2.21e-27,-14.612402,51.7550636,-1.8661851,SRPX,"sushi repeat containing protein, X-linked"
222217_s_at,3.18e-25,2.71e-27,-14.570922,51.5510674,-1.1241647,SLC27A3,solute carrier family 27 member 3
209710_at,3.2e-25,2.7400000000000002e-27,-14.568541,51.5393517,-1.3531034,GATA2,GATA binding protein 2
217771_at,3.4999999999999997e-25,3.0200000000000003e-27,14.549144,51.4438845,1.8314141,GOLM1,golgi membrane protein 1
43511_s_at,3.9e-25,3.3800000000000006e-27,-14.526234,51.3310754,-1.0073703,ARRB1,arrestin beta 1
213381_at,3.97e-25,3.45e-27,-14.521851,51.3094853,-0.7341457,VSTM4,V-set and transmembrane domain containing 4
204154_at,4.19e-25,3.67e-27,-14.509819,51.2502113,-1.3151278,CDO1,cysteine dioxygenase type 1
202908_at,4.48e-25,3.94e-27,-14.495459,51.1794408,-1.2520472,WFS1,wolframin ER transmembrane glycoprotein
205003_at,4.96e-25,4.39e-27,-14.473589,51.0716212,-1.8519336,DOCK4,dedicator of cytokinesis 4
209539_at,4.99e-25,4.4300000000000005e-27,-14.47148,51.0612216,-1.0307588,ARHGEF6,Rac/Cdc42 guanine nucleotide exchange factor 6
204249_s_at,5.66e-25,5.050000000000001e-27,-14.445153,50.9313465,-1.5537385,LMO2,LIM domain only 2
205978_at,6.41e-25,5.7600000000000005e-27,-14.418905,50.8017897,-1.2199497,KL,klotho
218711_s_at,7.25e-25,6.54e-27,-14.393191,50.6747872,-2.2591126,SDPR,serum deprivation response
219656_at,7.39e-25,6.700000000000001e-27,-14.388369,50.6509636,-0.8516983,PCDH12,protocadherin 12
203548_s_at,7.56e-25,6.89e-27,-14.382757,50.6232338,-2.3712008,LPL,lipoprotein lipase
210762_s_at,7.85e-25,7.190000000000001e-27,-14.37424,50.5811434,-2.245402,DLC1,DLC1 Rho GTPase activating protein
209481_at,7.89e-25,7.27e-27,-14.371848,50.5693208,-1.2180683,SNRK,SNF related kinase
204904_at,7.89e-25,7.300000000000001e-27,-14.371242,50.5663231,-0.6701382,GJA4,gap junction protein alpha 4
210002_at,8.68e-25,8.06e-27,-14.351102,50.4667528,-1.8365408,GATA6,GATA binding protein 6
205608_s_at,9.28e-25,8.67e-27,-14.336633,50.3951935,-1.4425173,ANGPT1,angiopoietin 1
219682_s_at,9.48e-25,8.9e-27,-14.331362,50.3691167,-1.5572291,TBX3,T-box 3
AFFX-HUMGAPDH/M33197_3_at,9.7e-25,9.150000000000001e-27,14.325628,50.3407471,0.8216788,GAPDH,glyceraldehyde-3-phosphate dehydrogenase
217525_at,9.7e-25,9.18e-27,-14.324967,50.337476,-1.1323746,OLFML1,olfactomedin like 1
204072_s_at,1.2199999999999999e-24,1.16e-26,-14.278449,50.1071882,-1.9456723,FRY,FRY microtubule binding protein
212353_at,1.51e-24,1.4500000000000002e-26,14.233966,49.8867458,2.3600795,SULF1,sulfatase 1
210657_s_at,1.9099999999999997e-24,1.83e-26,-14.186142,49.6495092,-0.7933682,SEPT4,septin 4
221841_s_at,1.93e-24,1.8700000000000002e-26,-14.182629,49.6320731,-2.2198551,KLF4,Kruppel like factor 4
211237_s_at,2.25e-24,2.18e-26,-14.151557,49.4777886,-0.95031,FGFR4,fibroblast growth factor receptor 4
218717_s_at,2.26e-24,2.21e-26,-14.149249,49.4663217,-1.3974987,P3H2,prolyl 3-hydroxylase 2
205554_s_at,2.26e-24,2.21e-26,-14.149005,49.465112,-1.3049663,DNASE1L3,deoxyribonuclease 1 like 3
205471_s_at,2.36e-24,2.32e-26,-14.139017,49.4154921,-1.4428715,DACH1,dachshund family transcription factor 1
205433_at,2.4299999999999997e-24,2.41e-26,-14.131669,49.3789789,-1.6519786,BCHE,butyrylcholinesterase
201292_at,2.4299999999999997e-24,2.41e-26,14.131334,49.3773136,2.4559629,TOP2A,topoisomerase (DNA) II alpha
218656_s_at,2.73e-24,2.7200000000000003e-26,-14.107112,49.256917,-1.6410456,LHFP,lipoma HMGIC fusion partner
213456_at,2.75e-24,2.75e-26,-14.105143,49.2471291,-2.2924053,SOSTDC1,sclerostin domain containing 1
220244_at,2.75e-24,2.77e-26,-14.103905,49.2409706,-1.1686362,LINC00312,long intergenic non-protein coding RNA 312
206170_at,2.84e-24,2.87e-26,-14.096624,49.2047681,-1.5596889,ADRB2,adrenoceptor beta 2
217177_s_at,2.9499999999999997e-24,2.99e-26,-14.088422,49.1639752,-1.0774286,PTPRB,"protein tyrosine phosphatase, receptor type B"
