ID,adj.P.Val,pvalue,t,B,log2FoldChange,Gene_Symbol,Gene.title
202273_at,1.21e-07,1.8e-08,-6.08385,8.5870255,-0.4839261,PDGFRB,platelet derived growth factor receptor beta
215411_s_at,1.21e-07,1.8e-08,-6.083379,8.5848767,-0.2875477,TRAF3IP2,TRAF3 interacting protein 2
212433_x_at,1.21e-07,1.8e-08,6.08303,8.5832886,0.360873,SNORA64,"small nucleolar RNA, H/ACA box 64///ribosomal protein S2"
220587_s_at,1.21e-07,1.8e-08,6.082995,8.5831287,0.2865914,MLST8,"MTOR associated protein, LST8 homolog"
203391_at,1.21e-07,1.81e-08,6.082786,8.582177,0.4350282,FKBP2,FK506 binding protein 2
221493_at,1.21e-07,1.81e-08,-6.082646,8.58154,-0.510572,TSPYL1,TSPY like 1
213943_at,1.21e-07,1.81e-08,6.082294,8.5799357,0.5888256,TWIST1,twist family bHLH transcription factor 1
202827_s_at,1.21e-07,1.81e-08,6.082017,8.5786764,0.5306949,MMP14,matrix metallopeptidase 14
216401_x_at,1.22e-07,1.83e-08,6.080279,8.570758,1.2640984,MLIP,muscular LMNA-interacting protein
205939_at,1.24e-07,1.85e-08,-6.077155,8.5565322,-0.2426267,CYP3A7-CYP3A51P,CYP3A7-CYP3A51P readthrough///cytochrome P450 family 3 subfamily A member 7
209357_at,1.24e-07,1.86e-08,-6.076493,8.5535182,-0.8310382,CITED2,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2
218349_s_at,1.25e-07,1.87e-08,6.075561,8.5492747,0.5913425,ZWILCH,zwilch kinetochore protein
209395_at,1.25e-07,1.87e-08,6.075155,8.5474251,1.2048841,CHI3L1,chitinase 3 like 1
47553_at,1.26e-07,1.89e-08,6.073148,8.5382879,0.2302316,WHRN,whirlin
211673_s_at,1.27e-07,1.89e-08,-6.072475,8.5352262,-0.2671665,MOCS1,molybdenum cofactor synthesis 1
207442_at,1.28e-07,1.91e-08,-6.070839,8.527776,-0.7514699,CSF3,colony stimulating factor 3
203570_at,1.28e-07,1.92e-08,6.069925,8.5236192,0.8230953,LOXL1,lysyl oxidase like 1
209795_at,1.29e-07,1.93e-08,-6.068895,8.5189318,-0.970539,CD69,CD69 molecule
218113_at,1.29e-07,1.93e-08,-6.068651,8.5178197,-0.4765624,TMEM2,transmembrane protein 2
203863_at,1.29e-07,1.94e-08,-6.067507,8.5126149,-0.2683774,ACTN2,actinin alpha 2
201704_at,1.29e-07,1.94e-08,6.067409,8.5121712,0.4520974,ENTPD6,ectonucleoside triphosphate diphosphohydrolase 6 (putative)
205282_at,1.29e-07,1.94e-08,6.067308,8.5117112,0.4026633,LRP8,LDL receptor related protein 8
200853_at,1.3e-07,1.94e-08,6.066893,8.5098238,0.5591872,H2AFZ,H2A histone family member Z
219788_at,1.3e-07,1.95e-08,-6.066799,8.5093948,-0.3272563,PILRA,paired immunoglobin like type 2 receptor alpha
203284_s_at,1.3e-07,1.96e-08,6.065722,8.5044928,0.5000944,HS2ST1,heparan sulfate 2-O-sulfotransferase 1
200660_at,1.31e-07,1.97e-08,6.064107,8.4971486,0.4331325,S100A11,S100 calcium binding protein A11
47530_at,1.31e-07,1.97e-08,-6.064019,8.4967492,-0.2400569,TRMO,tRNA methyltransferase O
211114_x_at,1.31e-07,1.98e-08,6.063462,8.4942125,0.3079263,GEMIN2,gem nuclear organelle associated protein 2
206324_s_at,1.32e-07,1.98e-08,-6.062611,8.4903452,-0.3912991,DAPK2,death associated protein kinase 2
201015_s_at,1.34e-07,2.01e-08,6.059849,8.4777833,0.4898865,JUP,junction plakoglobin
201543_s_at,1.34e-07,2.01e-08,6.059478,8.4760974,0.5179464,SAR1A,secretion associated Ras related GTPase 1A
209004_s_at,1.35e-07,2.03e-08,-6.057424,8.466759,-0.5462903,FBXL5,F-box and leucine rich repeat protein 5
204808_s_at,1.36e-07,2.04e-08,6.056261,8.4614683,0.4103975,TMEM5,transmembrane protein 5
203527_s_at,1.36e-07,2.05e-08,-6.055569,8.4583237,-0.2016725,APC,"APC, WNT signaling pathway regulator"
202172_at,1.36e-07,2.05e-08,-6.0552,8.4566455,-0.3974001,VEZF1,vascular endothelial zinc finger 1
218639_s_at,1.37e-07,2.07e-08,-6.053633,8.449523,-0.2909304,ZXDC,ZXD family zinc finger C
200643_at,1.4e-07,2.11e-08,6.049768,8.4319626,0.3202101,HDLBP,high density lipoprotein binding protein
205412_at,1.4e-07,2.11e-08,-6.049626,8.4313189,-0.5046264,ACAT1,acetyl-CoA acetyltransferase 1
218107_at,1.4e-07,2.11e-08,6.049167,8.4292334,0.3428786,WDR26,WD repeat domain 26
206754_s_at,1.4e-07,2.11e-08,-6.048862,8.4278447,-1.3039669,CYP2B7P,"cytochrome P450 family 2 subfamily B member 7, pseudogene///cytochrome P450 family 2 subfamily B member 6"
202049_s_at,1.4e-07,2.12e-08,6.048462,8.42603,0.3845448,ZMYM4,zinc finger MYM-type containing 4
205016_at,1.41e-07,2.12e-08,6.047832,8.4231664,0.7948855,TGFA,transforming growth factor alpha
